#### EXPORT DONNEES METEO POUR "NANTES" (LAT/LON: 47.218371/-1.553621)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2023-01-01,15,11,22,13,12,11,1.6,94,7,1019,88.25,15,11,9,353,266,353,0,3,3.3,météo défavorable,17:27:00,08:53:00,13
2023-01-02,10,6,22,8,9,9,5.4,93,9.5,1030,67.25,10,10,4,296,296,113,0,2,5.1,météo défavorable,17:28:00,08:53:00,9
2023-01-03,13,7,23,7,12,11,0,90,10,1030,43.875,13,9,5,113,116,122,0,4,8.7,météo correcte,17:29:00,08:53:00,7
2023-01-04,14,11,29,12,13,13,0,90,10,1029,97.875,14,12,9,122,119,122,0,3,3.3,météo défavorable,17:30:00,08:53:00,11
2023-01-05,13,12,18,12,13,12,0,97,10,1028,91.625,13,12,10,122,119,122,0,3,3.3,météo défavorable,17:31:00,08:53:00,13
2023-01-06,14,11,22,12,14,13,0.3,90,10,1026,76.5,14,11,10,122,176,353,0,3,3.3,météo défavorable,17:32:00,08:52:00,12
2023-01-07,13,9,37,10,11,11,1.1,94,8.875,1018,78,13,10,7,119,266,176,0,4,3.3,météo défavorable,17:33:00,08:52:00,9
2023-01-08,12,7,33,7,11,9,1.1,96,9.875,1008,81.5,12,9,5,176,176,176,0,2,3.3,météo défavorable,17:34:00,08:52:00,8
2023-01-09,10,7,28,8,10,8,1.1,82,9.875,1020,60.625,10,6,4,353,353,176,0,2,5.1,météo défavorable,17:35:00,08:51:00,7
2023-01-10,14,8,31,11,14,14,1.6,94,8.875,1022,89.75,14,12,8,266,176,119,0,3,3.3,météo défavorable,17:37:00,08:51:00,8
2023-01-11,13,8,31,10,12,10,1,96,9,1022,70.5,13,12,6,353,113,353,0,3,6.9,météo défavorable,17:38:00,08:51:00,12
2023-01-12,13,10,31,11,12,12,0.2,89,10,1024,98.375,13,10,7,122,122,122,0,3,3.3,météo défavorable,17:39:00,08:50:00,10
2023-01-13,13,8,20,9,12,9,0.5,92,9,1024,64.125,13,11,5,176,116,116,0,2,8.7,météo correcte,17:40:00,08:50:00,12
2023-01-14,14,9,39,11,14,14,1.7,90,8.875,1024,97.25,14,12,7,122,122,266,0,3,3.3,météo défavorable,17:42:00,08:49:00,10
