Fruits,	Pomme, Banane, Orange, Poire, Fraise, Raisin, Mangue, Citron, Ananas, Kiwi, Pastèque, Melon, Pêche, Abricot, Prune, Cerise
Légumes,	Carotte, Tomate, Concombre, Salade, Brocoli, Chou-fleur, Épinard, Poivron, Courgette, Aubergine, Oignon, Ail, Pomme de terre, Patate douce, Betterave, Radis, Asperge, Haricot vert, Petits pois, Maïs, Navet, Champignon, Fenouil
Produits laitiers,	Lait entier, Lait écrémé, Yaourt nature, Yaourt aromatisé, Fromage blanc, Crème fraîche, Beurre doux, Beurre demi-sel, Fromage râpé, Mozzarella, Parmesan, Camembert, Brie, Bleu, Feta, Gouda, Emmental, Lait d'amande, Lait de soja, Lait d'avoine, Kéfir
Viandes et volailles,	Poulet, Dinde, Bœuf haché, Steak de bœuf, Côte de porc, Saucisse, Jambon blanc, Jambon cru, Bacon, Filet de veau, Agneau, Poulet rôti, Charcuterie mixte, Salami, Mortadelle
Poissons et fruits de mer,	Saumon frais, Thon frais, Cabillaud, Sardine, Maquereau, Crevettes, Moules, Coquilles Saint-Jacques, Calamar, Filet de sole, Saumon fumé, Anchois, Huîtres
Produits secs,	Riz blanc, Riz complet, Lentilles vertes, Lentilles corail, Haricots secs, Pois chiches, Quinoa, Semoule, Couscous, Pâtes courtes, Pâtes longues, Flocons d'avoine, Farine blanche, Farine complète, Chapelure, Maïzena, Levure chimique, Sucre en poudre, Sucre roux, Miel, Sel fin, Sel de mer, Poivre noir, Épices variées, Cannelle, Paprika, Curry, Piment, Herbes de Provence
Conserves,	Tomates pelées, Haricots rouges, Pois chiches en conserve, Maïs en conserve, Thon en boîte, Sardines en conserve, Soupe en conserve, Champignons en boîte, Olives vertes, Olives noires, Cornichons, Compote de pommes, Sauce tomate, Ratatouille en conserve, Sauce pesto, Moutarde
Boulangerie,	Pain complet, Pain blanc, Pain de mie, Baguette, Croissant, Pain au chocolat, Brioche, Muffin, Pain aux céréales, Tortilla, Wraps
Petit-déjeuner,	Céréales nature, Céréales chocolatées, Granola, Muesli, Barres de céréales, Pain grillé, Biscottes, Confiture de fraise, Confiture d'abricot, Beurre de cacahuète, Nutella, Pâte à tartiner bio
Boissons,	Eau plate, Eau gazeuse, Jus d'orange, Jus de pomme, Limonade, Thé glacé, Café moulu, Café soluble, Thé vert, Thé noir, Infusions, Lait chocolaté, Boisson énergisante, Sirop de grenadine, Sirop de menthe, Vin rouge, Vin blanc, Bière blonde, Bière brune, Jus multi-fruits
Snacks,	Chips nature, Chips saveur barbecue, Popcorn, Bretzels, Biscuits salés, Crackers, Barres chocolatées, Bonbons, Fruits secs, Amandes, Noix de cajou, Noisettes, Pistaches, Mélange de noix
Surgelés,	Pizza surgelée, Légumes surgelés, Frites surgelées, Nuggets de poulet, Filets de poisson panés, Glace à la vanille, Glace au chocolat, Sorbet citron, Sorbet framboise, Fruits rouges surgelés, Pâtes fraîches surgelées
Produits ménagers,	Liquide vaisselle, Éponge, Nettoyant multi-surfaces, Lessive, Adoucissant, Papier essuie-tout, Papier toilette, Sac-poubelle, Détergent WC, Gants ménagers
Produits d'hygiène,	Savon, Gel douche, Shampoing, Après-shampoing, Dentifrice, Brosse à dents, Déodorant, Rasoir jetable, Mousse à raser, Cotons démaquillants, Lingettes bébé
