original_title,overview,year,genre
Stars in My Crown,L'histoire d'un jeune pasteur venant dans une petite ville aux États-Unis pour créer son ministère.Le film raconte les différentes relations et luttes qu'il traverse alors qu'il augmente sa famille et prêche à la communauté.,1950,Western
Love's Long Journey,"La grossesse surprise de Missie la place sur un nouveau cours qui est à la fois passionnant et terrifiant.Après toute la planification et le rêve, elle et son mari, Willie, se sont dirigés vers l'ouest dans un wagon couvert, laissant derrière lui la maison des prairies des parents de Missie.Maintenant, pris entre l'excitation de la nouvelle aventure et la douleur de ne pas savoir quand elle reverra sa famille, Missie fait face à les défis, et chérira les récompenses, de sa nouvelle propriété.",2005,Romance
Thirst,"Le descendant d'Elizabeth Bathory est enlevé par un culte de super-moussins autoproclamés qui atteignent cet état de supériorité en buvant des ""vaches de sang"" (lire: les gens) gardés dans la ""ferme laitière"", et ils essaient de la faire rejoindre à rejoindreeux.",1979,Romance
Jízda,"Deux gars ont acheté une voiture et ont voyagé à travers le pays jusqu'à ce qu'ils aient rencontré une fille solitaire sur la route.Ils commencent donc à voyager ensemble à s'amuser.Et il y a un autre gars qui a une meilleure voiture et qui cherche la fille parce qu'il est son amant, il est son premier.Que se passe-t-il à l'intérieur de cette fille?Personne ne sait, jusqu'à la fin.",1994,Romance
"Zorro, The Gay Blade","George Hamilton joue dans un double rôle en duel en tant que fils jumeaux du légendaire Zorro.Peu de temps après que Dongo Vega hérite de la célèbre épée et du costume de son père, une cheville cassée empêche le vengeur masqué de remplir ses devoirs héroïques.Lorsque son frère flamboyant à la mode assume l'identité secrète de poursuivre une lutte continue pour la justice, les résultats sont tout simplement hilarants!",1981,Western
Klaani: Tarina Sammakoitten suvusta,"Le jeune Alex Sammako a vu ses frères défier la loi dans une série d'actes qui les atterrissent d'abord en prison, puis, après s'être échappés et retournés dans leur domicile rural, les atterrir dans les genoux de leur famille notoire localement.Alex ne veut rien avoir à faire avec eux.Il est amoureux de Mirja, dont la famille n'est pas si différente des Sammakos, mais qui partage les points de vue et les sentiments d'Alex.Ne pas aider les questions est un service de police convaincu que tous les Sammakos sont mauvais, et la famille elle-même, faisant pression sur Alex de suivre leurs pas troubles.",1984,Romance
The Matchbreaker,"Lorsqu'un romantique idéaliste est licencié de son travail de jour, on lui offre un ""concert unique"" pour briser la relation d'une fille pour ses parents désapprobateurs.Ce concert ""unique"" se propage par le bouche-à-oreille et il finit par devenir un coup de match professionnel.Cependant, il finit par tomber amoureux de l'un de ses clients et doit comprendre comment équilibrer son travail secret avec sa vie d'amour.",2016,Romance
Man of the West,"Se dirigeant vers l'est jusqu'à Fort Worth pour embaucher un instituteur de sa maison de la ville frontalière, Link Jones est bloqué avec le chanteur Billie Ellis et le joueur Sam Beasley lorsque leur train est maintenu.Pour le refuge, Jones les mène à son ancienne maison voisine, où il a été élevé.Trouver le gang vivant toujours dans la cabane, Jones fait semblant d'être prêt à reprendre un crime de vie.",1958,Western
Good for Nothing,"Bon pour rien est un jeu aventureux qui se déroule dans le vieux Old West de Mike Wallis lors de ses débuts de réalisateur.Inspiré par les westerns spaghetti et célébrant le genre occidental avec une tournure intéressante, le film suit une romance étrange et la confusion émotionnelle qui en résulte un hors-la-loi qui développe à contrecœur des sentiments forts pour une femme qu'il a kidnappée.",2011,Western
Purgatory,"Une bande hors-la-loi s'enfuit et monte dans Refuge, une petite ville où personne ne porte un pistolet, des boissons ou des jurons.La ville est en fait purgatoire, et les habitants paisibles sont tous des hors-la-loi et criminels morts célèbres tels que Doc Holiday et Wild Bill Hickok qui doivent se racheter avant de se faire admettre au paradis ... ou de fouiller et d'aller en enfer.",1999,Western
Shoot Out,"Clay Lomax, un voleur de banque, sort de prison après une peine de 7 ans.Il s'occupe de Sam Foley, l'homme qui l'a trahi.Sachant cela, Foley engage trois hommes pour faire attention aux pas de Clay.Les choses se compliquent lorsque Lomax, attendant de recevoir de l'argent de son ex-amant, ne fait que l'avis de sa mort et une fillette de 7 ans, parfois très ennuyeuse, présumée être sa fille.",1971,Western
