product,metal,width,optical_code,height_40,height_70,height_110,height_200,timestamp_first,timestamp_last
dechet,False,86,T033073,True,True,False,False,2024-11-14 14:40:59.955602,2024-11-14 14:40:59.994822
dechet,False,79,T047103,True,True,False,False,2024-11-14 14:41:00.075113,2024-11-14 14:41:00.103905
carton_petit,False,89,B121025,True,True,False,False,2024-11-14 14:41:00.226855,2024-11-14 14:41:00.277602
tetrapak,False,71,B103004,True,False,False,False,2024-11-14 14:41:00.375405,2024-11-14 14:41:00.412324
bouteille_t,False,203,T049064,True,False,False,False,2024-11-14 14:41:00.475034,2024-11-14 14:41:00.497214
bouteille_b,False,63,W011003,True,False,False,False,2024-11-14 14:41:00.592657,2024-11-14 14:41:00.670296
bouteille_b,False,74,W006006,True,False,False,False,2024-11-14 14:41:00.655211,2024-11-14 14:41:00.734538
dechet,False,177,B095014,True,True,True,False,2024-11-14 14:41:00.781988,2024-11-14 14:41:00.784546
yaourt,False,43,W026012,True,False,False,False,2024-11-14 14:41:00.847005,2024-11-14 14:41:00.865494
carton_petit,False,107,B096024,True,True,False,False,2024-11-14 14:41:00.967172,2024-11-14 14:41:01.008990
tetrapak,False,37,B101007,True,False,False,False,2024-11-14 14:41:01.111474,2024-11-14 14:41:01.130175
canette,True,44,S037006,True,True,False,False,2024-11-14 14:41:01.237052,2024-11-14 14:41:01.262663
conserve,True,90,S015005,True,True,True,False,2024-11-14 14:41:01.289255,2024-11-14 14:41:01.335323
dechet,False,92,B020043,True,True,False,False,2024-11-14 14:41:01.390092,2024-11-14 14:41:01.440090
bouteille_t,False,146,T027083,True,False,False,False,2024-11-14 14:41:01.444862,2024-11-14 14:41:01.475248
dechet,False,113,T025070,True,True,False,False,2024-11-14 14:41:01.507653,2024-11-14 14:41:01.517193
carton_petit,False,92,B075013,True,True,False,False,2024-11-14 14:41:01.601767,2024-11-14 14:41:01.638268
dechet,False,85,W027015,True,False,False,False,2024-11-14 14:41:01.679160,2024-11-14 14:41:01.704953
yaourt,False,66,W036012,True,False,False,False,2024-11-14 14:41:01.771015,2024-11-14 14:41:01.798661
conserve,True,68,S033005,True,True,True,False,2024-11-14 14:41:01.882114,2024-11-14 14:41:01.931683
journal,False,11,B058066,True,True,True,True,2024-11-14 14:41:01.999690,2024-11-14 14:41:02.149751
dechet,False,203,B062008,True,True,True,False,2024-11-14 14:41:02.082358,2024-11-14 14:41:02.085118
bouteille_t,False,172,T049101,True,True,False,False,2024-11-14 14:41:02.182059,2024-11-14 14:41:02.203680
dechet,False,84,B014070,True,True,False,False,2024-11-14 14:41:02.256046,2024-11-14 14:41:02.287738
